Rack #,,Bag #,30,40,N,50,60,E,Area 1,Burial Number,Cluster #,Date,Previously Sampled,Notes,Initials,,,,,,,,
25,,-,160,170,N,0,10,W,NW,7.,,,,Child ribs,AWA,,,,,,,,
22,,-,160,170,N,0,10,W,NW,10.,,,,EYE ORBIT TISSUE,GM,,,,,,,,
22,,-,160,170,N,0,10,W,NW,20.,,,,THORAX,GM,,,,,,,,
8,,-,160,170,N,0,10,W,NW,28.,,,,3 rib fragments; adult,MBB,,,,,,,,
8,,-,160,170,N,0,10,W,NW,13,,,,2 rib fragments; adult,MBB,,,,,,,,
4,,-,160,170,N,0,10,W,NW,14,,,,11 teeth; child,MBB,,,,,,,,
8,,-,160,170,N,0,10,W,NW,20,,,Yes,5 teeth; adult,MBB,,,,,,,,
-,,?,160,170,N,0,10,W,NW,30,,,,SMALL TEST TUBE OF BUGS?,CIE,,,,,,,,
19,,-,160,170,N,0,10,W,NW,31A,,,,Fragments of foot and rib (with tissue); child,MBB,,,,,,,,
22,,-,160,170,N,0,10,W,NW,33,,,,HAIR IN SCALP,GM,,,,,,,,
31,,-,160,170,N,0,10,W,NW,36,,1998,,Skin,AWA,,,,,,,,
33,,,160,170,N,0,10,W,NW,44,3,1998,,Long bone pieces,AWA,,,,,,,,
33,,,160,170,N,0,10,W,NW,7,3,1998,,Bone and tissue,AWA,,,,,,,,
30,,-,160,170,N,0,10,W,NW,9,,2000,,VERTEBRAE,GM,,,,,,,,
4,,-,160,170,N,10,20,E,NW,4.,,,,17 teeth; child,MBB,,,,,,,,
8,,-,160,170,N,10,20,E,NW,7.,,,,9 bone fragments; child,MBB,,,,,,,,
4,,-,160,170,N,10,20,E,NW,8.,,,,4 teeth; adult,MBB,,,,,,,,
-,,2,160,170,N,10,20,E,NW,"40,367.",,,,WOOD,CIE,,,,,,,,
20,,-,160,170,N,10,20,E,NW,"40,394.",,,,"Scalp, hair, piece of skull",AWA,,,,,,,,
1,,-,160,170,N,10,20,E,NW,01- 02,,,,11 teeth; adult,AWA,,,,,,,,
29,,,160,170,N,10,20,E,NW,01- 03,,,,EYE,GM,,,,,,,,
17,,-,160,170,N,10,20,E,NW,01- 04,,,,Bone or tooth fragments,MBB,,,,,,,,
31,,-,160,170,N,10,20,E,NW,01- 05,,1998,,"""Internal""",AWA,,,,,,,,
33,,,160,170,N,10,20,E,NW,01- 06,2,1998,,6 teeth; adult,AWA,,,,,,,,
30,,-,160,170,N,10,20,E,NW,01- 07,,2000,,"BLACK DEBRIS; ""BUGS FROM PELVIS""",CIE,,,,,,,,
30,,-,160,170,N,10,20,E,NW,02- 01,,2000,,"2 TEETH, 2 RIB FRAGMENTS W/ TISSUE; ADULT",CIE,,,,,,,,
30,,-,160,170,N,10,20,E,NW,02- 02,,2000,,BUGS FROM PELVIS,GM,,,,,,,,
13,,-,160,170,N,10,20,E,NW,02- 03,,,,"9-10 TEETH; ADULT, SOME FRAGMENTED",CIE,,,,,,,,
13,,-,160,170,N,10,20,E,NW,02- 04,,,,9 TEETH; ADULT,CIE,,,,,,,,
-,,4,160,170,N,10,20,E,NW,03- 03,,,,BEARD HAIR,CIE,,,,,,,,
8,,-,160,170,N,10,20,E,NW,03- 04,,,,3 rib fragments; child,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,NW,03- 05,,,,Skin; UKN,MBB,,,,,,,,
-,,5,160,170,N,10,20,E,NW,04- 02,,1993,,"2 tubes with tooth fragments; UKN (""SOHAG"") written on bag",MBB,,,,,,,,
31,,-,160,170,N,10,20,E,NW,04- 03,,1998,Yes,4 teeth; adult,AWA,,,,,,,,
-,,3,160,170,N,10,20,E,NW,04- 04,,1998,,"""COPROLITE?""",CIE,taken to Richard Heckmann for analysis on 11 January 2011,,,,,,,
,,6,160,170,N,10,20,E,NW,04- 05,,1998,Y,TEETH,GM,,,,,,,,
,,6,160,170,N,10,20,E,NW,05- 01,,1998,,SKIN,GM,,,,,,,,
30,,-,160,170,N,10,20,E,NW,05- 02,,2000,,RIBS AND TEETH,GM,,,,,,,,
6,,-,160,170,N,10,20,E,NW,06- 01,,,,10 teeth; adult,MBB,,,,,,,,
3,,-,160,170,N,10,20,E,NW,06- 04,,,Y,9 TEETH,GM,,,,,,,,
8,,-,160,170,N,10,20,E,NW,07- 02,,,,3 rib fragments; adult,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,NW,07- 03,,,,Tissue from palate; UKN,MBB,,,,,,,,
4,,-,160,170,N,10,20,E,NW,08- 02,,,,9 teeth; adult,MBB,,,,,,,,
6,,-,160,170,N,10,20,E,NW,1 - 08,,,Yes,14 teeth; adult,MBB,,,,,,,,
22,,-,160,170,N,10,20,E,NW,1-01,,,,BRIAN,GM,,,,,,,,
15,,-,160,170,N,10,20,E,NW,10 - 02,,,,TEETH,GM,,,,,,,,
15,,-,160,170,N,10,20,E,NW,10- 01,,,,HAIR AND SKIN,GM,,,,,,,,
10,,-,160,170,N,10,20,E,NW,10-03,,1998,,4 fragmented teeth; child?,MBB,,,,,,,,
10,,-,160,170,N,10,20,E,NW,11 - 03,,1998,,Skin from foot; UKN ,MBB,,,,,,,,
10,,-,160,170,N,10,20,E,NW,11- 02,,1998,,Fibula fragment; child,MBB,,,,,,,,
14,,-,160,170,N,10,20,E,NW,11-01,18,1998,,"5 teeth fragments; adult (""Cluster 18"")",MBB,,,,,,,,
,,6,160,170,N,10,20,E,NW,12 - 01,,1998,,RIBS AND TISSUE,GM,,,,,,,,
30,,-,160,170,N,10,20,E,NW,12 - 03,,2000,,RIBS AND TEETH,GM,,,,,,,,
6,,-,160,170,N,10,20,E,NW,12- 04,,,,4 teeth; adult,MBB,,,,,,,,
-,,1,160,170,N,10,20,E,NW,12-02,,,,HAIR AND POSSIBLE BONE FRAGMENTS,CIE,,,,,,,,
4,,-,160,170,N,10,20,E,NW,12-05,,,,8 teeth; child,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,NW,13 - 02,,,,Skin from skull; UKN,MBB,,,,,,,,
8,,-,160,170,N,10,20,E,NW,13-01,,,,2 rib fragments; sub-adult,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,NW,13-03,,,,Tissue; UKN,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,NW,13-04,,,,"9 TEETH; ADULT, ONE BROKEN",CIE,,,,,,,,
1,,-,160,170,N,10,20,E,NW,13-05,,,,12 teeth; child,AWA,,,,,,,,
14,,-,160,170,N,10,20,E,NW,14 - 02,18,1998,,"Internal tissue; UKN  (""Cluster 18"")",MBB,,,,,,,,
33,,,160,170,N,10,20,E,NW,14 - 04,3,1998,,Ribs; infant,AWA,,,,,,,,
34,,,160,170,N,10,20,E,NW,15-01,,1998,,"Skin, teeth, and bone; adult",AWA,,,,,,,,
30,,-,160,170,N,10,20,E,NW,15-02,,2000,,"2 TEETH, RIB, OTHER UNK; ADULT",CIE,,,,,,,,
-,,3,160,170,N,10,20,E,NW,15-03,,2/22/1992,,WOOD FOR CARBON DATING,CIE,,,,,,,,
13,,-,160,170,N,10,20,E,NW,15-04,,,,4 TEETH; ADULT,CIE,,,,,,,,
25,,-,160,170,N,10,20,E,NW,15-05,,,,Rib pieces; adult,AWA,,,,,,,,
-,,1,160,170,N,10,20,E,NW,16 - 02,,,,Hair,MBB,,,,,,,,
5,,,160,170,N,10,20,E,NW,16-01,,,,8 teeth; adult,MBB,,,,,,,,
13,,-,160,170,N,10,20,E,NW,16-03,,,,8 teeth; adult,MBB,,,,,,,,
16,,-,160,170,N,10,20,E,NW,16-04,,,,6 rib fragments; infant,MBB,,,,,,,,
4,,-,160,170,N,10,20,E,NW,17 - 01,,,,11 teeth; adult,MBB,,,,,,,,
6,,-,160,170,N,10,20,E,NW,17-03,,,,5 teeth; adult,MBB,,,,,,,,
6,,-,160,170,N,10,20,E,NW,17-2,,,Yes,2 teeth; adult,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,NW,18 - 02,,,,Tissue from hand (fingerprint); UKN,MBB,,,,,,,,
3,,-,160,170,N,10,20,E,NW,18-01,,,,10 TEETH,GM,,,,,,,,
6,,-,160,170,N,10,20,E,NW,18-03,,,,12 teeth; adult (some bone),MBB,,,,,,,,
3,,-,160,170,N,10,20,E,NW,19 - 01,,,,13 TEETH AND FRAGMENTS,GM,,,,,,,,
14,,-,160,170,N,10,20,E,NW,19 - 02,,,,4 rib fragments; child (some tissue),MBB,,,,,,,,
14,,,160,170,N,10,20,E,NW,19-03,,,,7 bone fragments; sub-adult?,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,NW,19-04,,,,3 TEETH; ADULT W/ DECAY,CIE,,,,,,,,
29,,,160,170,N,10,20,E,NW,2 - 05,,,,EYE FRAGEMENTS; UNK AGE,CIE,,,,,,,,
14,,-,160,170,N,10,20,E,NW,21 - 02,18,1998,,"Skin; UKN (""Cluster 18"") ",MBB,,,,,,,,
31,,,160,170,N,10,20,E,NW,21-01,,1998,,3 molars; child,AWA,,,,,,,,
31,,,160,170,N,10,20,E,NW,21-03,,1998,,Broken rib pieces,AWA,,,,,,,,
30,,-,160,170,N,10,20,E,NW,21-04,,2000,,RIBS AND TEETH,GM,,,,,,,,
30,,,160,170,N,10,20,E,NW,21-05,,2000,,"2 TEETH, MULT RIB FRAGMENTS; ADULT",CIE,,,,,,,,
4,,-,160,170,N,10,20,E,NW,22 - 04,,,,6 teeth; adult,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,NW,22 - 05,,,,5 WHOLE TEETH; ADULT W/ MULTIPLE TOOTH FRAGMENTS,CIE,,,,,,,,
1,,-,160,170,N,10,20,E,NW,22-01,,,,9 teeth; child,AWA,,,,,,,,
22,,-,160,170,N,10,20,E,NW,22-02,,,,HAIR IN SCALP,GM,,,,,,,,
14,,-,160,170,N,10,20,E,NW,22-03,18,1998,,"Tissue; UKN (""Cluster 18"")",MBB,,,,,,,,
10,,-,160,170,N,10,20,E,NW,23 - 01,,1998,,2 fragmented teeth; child,MBB,,,,,,,,
,,6,160,170,N,10,20,E,NW,23-02,,1998,,"LONG BONE, SKIN, AND INTERNAL?",GM,,,,,,,,
30,,,160,170,N,10,20,E,NW,24-01,,2000,,RIBS AND TEETH,GM,,,,,,,,
30,,,160,170,N,10,20,E,NW,24-02,,2000,,"2 TEETH, MULT RIBS W/ TISSUE; ""BABY""",CIE,,,,,,,,
-,,2,160,170,N,10,20,E,NW,24-03,,,,HAIR,CIE,,,,,,,,
6,,-,160,170,N,10,20,E,NW,24-04,,,,5 teeth; adult,MBB,,,,,,,,
6,,-,160,170,N,10,20,E,NW,25 - 01,,,,5 teeth; adult (some tissue),MBB,,,,,,,,
6,,-,160,170,N,10,20,E,NW,25-02,,,,6 teeth; adult,MBB,,,,,,,,
8,,-,160,170,N,10,20,E,NW,25-03,,,,6 rib fragments; child,MBB,,,,,,,,
3,,-,160,170,N,10,20,E,NW,25-04,,,,6 TEETH,GM,,,,,,,,
3,,-,160,170,N,10,20,E,NW,25-05,,,,"10 TEETH, FRAGMENTS, AND MAYBE TISSUE",GM,,,,,,,,
3,,-,160,170,N,10,20,E,NW,26-01,,,Y,7 TEETH,GM,,,,,,,,
3,,-,160,170,N,10,20,E,NW,26-02,,,Y,10 TEETH,GM,,,,,,,,
-,,?,160,170,N,10,20,E,NW,3 - 1,,,,FUNGUS ,CIE,,,,,,,,
5,,,160,170,N,10,20,E,NW,3-02,,,,~14 rib fragments; child,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,NW,4-01,,,,"7 SMALLER TEETH, POSSIBLY CHILD OR TEEN",CIE,,,,,,,,
11,,,160,170,N,10,20,E,NW,4-07,,,,SKIN ?,GM,,,,,,,,
17,,-,160,170,N,10,20,E,NW,6 - 02,,,,Empty tube with dust residue,MBB,,,,,,,,
5,,,160,170,N,10,20,E,NW,6-03,,,Yes,2 teeth; adult,MBB,,,,,,,,
28,,-,160,170,N,10,20,E,NW,6-05,,,,~10 bone fragments (ribs and foot) and tissue; child,MBB,,,,,,,,
5,,,160,170,N,10,20,E,NW,7 - 05,,,,Tissue; UKN,MBB,,,,,,,,
10,,-,160,170,N,10,20,E,NW,7 - 06,,1998,,Rib fragments; child,MBB,,,,,,,,
31,,-,160,170,N,10,20,E,NW,7-04,,1998,,"""Internal""",AWA,,,,,,,,
31,,-,160,170,N,10,20,E,NW,7-07,,1998,,Ribs; child,AWA,,,,,,,,
32,,,160,170,N,10,20,E,NW,7-09,2,1998,Yes,Brain - Femur,AWA,,,,,,,,
14,,-,160,170,N,10,20,E,NW,8 - 01,19,1998,Yes,"5 teeth; adult (""Cluster 19"")",MBB,,,,,,,,
14,,-,160,170,N,10,20,E,NW,8-05,19,1998,,"Tissue; UKN (""Cluster 19"")",MBB,,,,,,,,
14,,-,160,170,N,10,20,E,NW,8-06,19,1998,Yes,"4 rib fragments; sub-adult (""Cluster 19"")",MBB,,,,,,,,
30,,,160,170,N,10,20,E,NW,8-07,,2000,,RIBS AND TEETH- BABY,GM,,,,,,,,
30,,,160,170,N,10,20,E,NW,9-01,,2000,,"2 TEETH, 3RIB FRAGMENTS; ADULT",CIE,,,,,,,,
30,,,160,170,N,10,20,E,NW,9-02,,2000,,RIBS AND TEETH,GM,,,,,,,,
13,,-,160,170,N,10,20,E,SE,3.,,,,2 TEETH; ADULT W/ TISSUE ATTACHED,CIE,,,,,,,,
13,,-,160,170,N,10,20,E,SE,11.,,,,10 TEETH; ADULT,CIE,,,,,,,,
4,,-,160,170,N,10,20,E,SE,12.,,,,2 teeth; adult,MBB,,,,,,,,
22,,-,160,170,N,10,20,E,SE,13.01,,,,SKIN,GM,,,,,,,,
8,,-,160,170,N,10,20,E,SE,15.,,,,3 rib fragments; adult,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,SE,15.2,,,,Skin from foot; UKN,MBB,,,,,,,,
25,,-,160,170,N,10,20,E,SE,16.,,,,Finger or toe nails; UKN,MBB,,,,,,,,
17,,-,160,170,N,10,20,E,SE,18.01,,,,Powdered tissue sample,MBB,,,,,,,,
17,,-,160,170,N,10,20,E,SE,18.02,,,,Empty tube with dust residue,MBB,,,,,,,,
21,,-,160,170,N,10,20,E,SE,18.03,,,,Powdered tooth sample,MBB,,,,,,,,
34,,,160,170,N,10,20,E,SE,19.02,,1998,,Long bone,AWA,,,,,,,,
30,,,160,170,N,10,20,E,SE,20.,,2000,,MULT RIB FRAGMENTS; INFANT,CIE,,,,,,,,
30,,,160,170,N,10,20,E,SE,21.2,,2000,,RIBS- BABY,GM,,,,,,,,
30,,,160,170,N,10,20,E,SE,21.3,,2000,,MULT RIB FRAGMENTS; CHILD,CIE,,,,,,,,
13,,-,160,170,N ,10,20,E ,SE,22.,,,YES ,11 TEETH; ADULT,CIE,,,,,,,,
-,,1,160,170,N,10,20,E,SE,22.,,,,HAIR,CIE,,,,,,,,
25,,-,160,170,N,10,20,E,SE,22.02,,,,Infant ribs,AWA,,,,,,,,
3,,-,160,170,N,10,20,E,SE,22.04,,,,7 TEETH,GM,,,,,,,,
8,,-,160,170,N,10,20,E,SE,24.,,,,3 rib fragments; adult,MBB,,,,,,,,
3,,-,160,170,N,10,20,E,SE,26.,,,,6 TEETH AND MAYBE TISSUE,GM,,,,,,,,
3,,-,160,170,N,10,20,E,SE,27.01,,,,4 TEETH AND FRAGMENTS,GM,,,,,,,,
26,,-,160,170,N,10,20,E,SE,27.02,,,,Bone and tissue from foot; UKN,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,SE,27.03,,,,"7 TEETH; ADULT, W/ CROWNS MISSING",CIE,,,,,,,,
21,,-,160,170,N,10,20,E,SE,28.01,,,,Powdered brain sample,MBB,,,,,,,,
35,,,160,170,N,10,20,E,SE,28.02,20,1998,,"2 rib fragments; sub-adult (""Cluster 20"")",MBB,,,,,,,,
35,,,160,170,N,10,20,E,SE,28.04,20,1998,,"5 teeth; adult (""Cluster 20"")",MBB,,,,,,,,
35,,,160,170,N,10,20,E,SE,28.05,20,1998,,"Tissue; UKN (""Cluster 20"")",MBB,,,,,,,,
31,,-,160,170,N,10,20,E,SE,29.,25,1998,,Teeth and skin; UKN,AWA,,,,,,,,
32,,,160,170,N,10,20,E,SE,29.4,3,1998,,Long bone and teeth; adult,AWA,,,,,,,,
34,,,160,170,N,10,20,E,SE,30.,17,1998,,"Bone, skin, and teeth; adult",AWA,,,,,,,,
30,,,160,170,N,10,20,E,SE,30.01,,2000,,RIBS,GM,,,,,,,,
30,,,160,170,N,10,20,E,SE,30.02,,2000,,"7 RIB FRAG, 1 TOOTH, ULNA FRAG; CHILD",CIE,,,,,,,,
30,,,160,170,N,10,20,E,SE,31.01,,2000,,RIBS AND TEETH (HEADWEST),GM,,,,,,,,
30,,,160,170,N,10,20,E,SE,32.,,2000,,"2 TEETH, 3 RIB FRAGMENTS, ADULT",CIE,,,,,,,,
13,,-,160,170,N,10,20,E,SE,33.,,,,2 TEETH; ADULT,CIE,,,,,,,,
-,,1,160,170,N,10,20,E,SE,33.04,,,,HAIR  ,CIE,,,,,,,,
25,,-,160,170,N,10,20,E,SE,34.,,,,Skin from ankle; UKN,MBB,,,,,,,,
3,,-,160,170,N,10,20,E,SE,36.,,,,13 TEETH AND FAGMENTS,GM,,,,,,,,
5,,,160,170,N,10,20,E,SE,36.03,,,,11 teeth; adult,MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,39.,,,Yes,"Tooth ""M14""",AWA,,,,,,,,
14,,-,160,170,N,10,20,E,SE,39.,18,1998,,"Tissue; UKN (""Cluster 18"")",MBB,,,,,,,,
34,,,160,170,N,10,20,E,SE,39.01,17,1998,,Tissue from pelvic area,AWA,,,,,,,,
30,,,160,170,N,10,20,E,SE,39.02,,2000,,RIBS AND TEETH,GM,,,,,,,,
24,,-,160,170,N,10,20,E,SE,39.04,,,,Eye orbit; UKN,MBB,,,,,,,,
5,,,160,170,N,10,20,E,SE,39.06,,,,"(""Flowers?? Over face"") - written on tube",MBB,,,,,,,,
25,,-,160,170,N,10,20,E,SE,39.7,,,,Ribs; child,AWA,,,,,,,,
25,,-,160,170,N,10,20,E,SE,40.,,,,Ribs; child,AWA,,,,,,,,
5,,,160,170,N,10,20,E,SE,40.01,,,,2 bone fragments; UKN,MBB,,,,,,,,
16,,-,160,170,N,10,20,E,SE,40.02,,,,5 rib fragments and tissue; child,MBB,,,,,,,,
17,,-,160,170,N,10,20,E,SE,40.04,,,,Tissue sample,MBB,,,,,,,,
14,,-,160,170,N,10,20,E,SE,40.5,18,1998,,"Bone fragment; UKN (""Cluster 18"")",MBB,,,,,,,,
34,,,160,170,N,10,20,E,SE,41.,23,1998,,Lung,AWA,,,,,,,,
34,,,160,170,N,10,20,E,SE,41.01,23,1998,,Rib/skin,AWA,,,,,,,,
30,,,160,170,N,10,20,E,SE,41.04,,2000,,"2 TEETH, 5 RIB FRAGMENTS; ADULT",CIE,,,,,,,,
30,,,160,170,N,10,20,E,SE,41.05,,2000,,15 YR OLD GIRL- RIBS AND TEETH,GM,,,,,,,,
25,,-,160,170,N,10,20,E,SE,52.03,,,,Broken ribs pieces,AWA,,,,,,,,
22,,-,160,170,N,10,20,E,SE,53.,,,,MISC. TISSUE,GM,,,,,,,,
6,,-,160,170,N,10,20,E,SE,53.01,,,Yes,1 tooth; adult,MBB,,,,,,,,
6,,-,160,170,N,10,20,E,SE,53.04,,,,~5 broken teeth and fragments; adult,MBB,,,,,,,,
25,,-,160,170,N,10,20,E ,SE,01- 01,,,,~4 bone fragments (finger); adult,MBB,,,,,,,,
17,,-,160,170,N,10,20,E ,SE,01- 02,,,,Tissue sample,MBB,,,,,,,,
11,,,160,170,N,10,20,E ,SE,01- 03,,,Y,TOOTH-RC,GM,,,,,,,,
14,,-,160,170,N,10,20,E ,SE,01- 04,,,,8 rib fragments; child,MBB,,,,,,,,
26,,-,160,170,N,10,20,E,SE,05- 01,,,,5 broken teeth and fragments; scalp and hair; child,MBB,,,,,,,,
14,,-,160,170,N,10,20,E,SE,05- 02,,,,2 bones; 6 teeth; adult,MBB,,,,,,,,
32,,,160,170,N,10,20,E,SE,05- 05,2,1998,,Lung tissue,AWA,,,,,,,,
34,,,160,170,N,10,20,E,SE,07- 05,23,1998,,Teeth and skin; adult,AWA,,,,,,,,
35,,,160,170,N,10,20,E,SE,10-01,4,1998,,"Bone fragment; UKN (""Cluster 4"")",MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,10-02,4,1998,,"Tissue; UKN (""Cluster 4"")",MBB,,,,,,,,
30,,,160,170,N,10,20,E,SE,10-03,,2000,,3 RIBS AND 3 TEETH; ADULT,CIE,,,,,,,,
29,,,160,170,N,10,20,E,SE,11- 05,,2000,,"2 TEETH, 1 RIB; ADULT",CIE,,,,,,,,
29,,,160,170,N,10,20,E,SE,11- 06,,2000,,RIB AND TWO TEETH,GM,,,,,,,,
30,,,160,170,N,10,20,E,SE,11-04,,2000,,"3 RIB FRAGMENTS; ADULT ""OLD MAN""",CIE,,,,,,,,
8,,-,160,170,N,10,20,E,SE,12-01,,,,4 teeth; adult,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,SE,12.03,,,,1 TOOTH; ADULT,CIE,,,,,,,,
13,,-,160,170,N,10,20,E,SE,13-02,,,,10 teeth; adult,MBB,,,,,,,,
5,,,160,170,N,10,20,E,SE,13.04,,,Yes,2 teeth; adult,MBB,,,,,,,,
1,,-,160,170,N,10,20,E,SE,14.01,,,,7 teeth; child?,AWA,,,,,,,,
22,,-,160,170,N,10,20,E,SE,15-01,,,,HAIR,GM,,,,,,,,
-,,3,160,170,N,10,20,E,SE,15-5,,,,TISSUE INSIDE EYE,CIE,,,,,,,,
-,,?,160,170,N,10,20,E,SE,15.3,,,,MANDIBLE W/ TEETH; ADULT,CIE,,,,,,,,
32,,,160,170,N,10,20,E,SE,17,2,1998,,Skin,AWA,,,,,,,,
32,,,160,170,N,10,20,E,SE,18,2,1998,Yes,2 teeth; adult,AWA,,,,,,,,
18,,,160,170,N,10,20,E,SE,19-01,4,1998,,"Bone fragment; UKN (""Cluster 4""",MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,19.03,4,1998,,"4 teeth; adult (""Cluster 4"")",MBB,,,,,,,,
30,,,160,170,N,10,20,E,SE,19.04,,2000,,RIBS- OLD MAN,GM,,,,,,,,
29,,,160,170,N,10,20,E,SE,2-03,,2000,,"UNK, INTACT ARM OR LEG BONE, 5 RIB FRAGMENTS, 3 TEETH, CHILD",CIE,,,,,,,,
29,,,160,170,N,10,20,E,SE,2-04,,2000,,RIBS- PRECHRISTIAN,GM,,,,,,,,
3,,-,160,170,N,10,20,E,SE,2.01,,,,7 TEETH- CHILD,GM,,,,,,,,
22,,-,160,170,N,10,20,E,SE,2.02,,,,MISC. TISSUE,GM,,,,,,,,
14,,-,160,170,N,10,20,E,SE,20-01,,,,6 rib fragments; sub-adult,MBB,,,,,,,,
26,,-,160,170,N,10,20,E,SE,20-02,,,,Scalp and hair; UKN,MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,20-4,6,1998,,"2 teeth; adult (""Cluster 6"")",MBB,,,,,,,,
34,,,160,170,N,10,20,E,SE,21-01,23,1998,Yes,"Skin, bones, teeth; adult",AWA,,,,,,,,
35,,,160,170,N,10,20,E,SE,22-03,7,1998,,"5 teeth and tissue; adult (""Cluster 7"")",MBB,,,,,,,,
29,,,160,170,N,10,20,E,SE,22-05,,2000,,"2 TEETH, 2 RIBS; ADULT",CIE,,,,,,,,
29,,,160,170,N,10,20,E,SE,22-07,,2000,,RIBS AND TEETH,GM,,,,,,,,
30,,,160,170,N,10,20,E,SE,24-02,,2000,,3 TEETH 2 RIB FRAGMENTS; ADULT,CIE,,,,,,,,
30,,,160,170,N,10,20,E,SE,24.03,,2000,,RIBS AND TEETH,GM,,,,,,,,
3,,-,160,170,N,10,20,E ,SE,25-01,,,Y,4 TEETH AND FRAGMENTS,GM,,,,,,,,
6,,-,160,170,N,10,20,E ,SE,25-02,,,,4 teeth; adult,MBB,,,,,,,,
16,,-,160,170,N,10,20,E ,SE,25-03,,,,2 bones (foot) and tissue; UKN,MBB,,,,,,,,
9,,-,160,170,N,10,20,E ,SE,25-04,,,,11 teeth; adult,MBB,,,,,,,,
12,,-,160,170,N,10,20,E,SE,25-05,,,,6 TEETH; ADULT W/ TISSUE,CIE,,,,,,,,
14,,-,160,170,N,10,20,E,SE,26-02,,,,~6 rib fragments; adult,MBB,,,,,,,,
1,,-,160,170,N,10,20,E,SE,26-03,,,Yes,10 teeth; adult,AWA,,,,,,,,
18,,,160,170,N,10,20,E,SE,26-04,6,1998,,"Bone fragments from foot; adult (""Cluster 6"")",MBB,,,,,,,,
31,,-,160,170,N,10,20,E,SE,27-05,15,1998,,Rib and fungus,AWA,,,,,,,,
31,,-,160,170,N,10,20,E,SE,27.04,15,1998,,Hair and Scalp,AWA,,,,,,,,
33,,,160,170,N,10,20,E,SE,28-03,9,1998,,Brain,AWA,,,,,,,,
33,,,160,170,N,10,20,S,SE,28-09,9,1998,,Rib; UKN,AWA,,,,,,,,
32,,,160,170,N,10,20,E,SE,28.06,9,1998,,"""Internal - lung?",AWA,,,,,,,,
32,,,160,170,N,10,20,E,SE,28.8,9,1998,Yes,3 teeth; adult,AWA,,,,,,,,
32,,,160,170,N,10,20,E,SE,29-01,9,1998,,Ribs and skin,AWA,,,,,,,,
30,,,160,170,N,10,20,E,SE,29-02,,2000,,"3 RIB FRAGMENTS, 2 TEETH; ADULT",CIE,,,,,,,,
30,,,160,170,N,10,20,E,SE,29-05,,2000,,RIBS AND TEETH,GM,,,,,,,,
12,,-,160,170,N,10,20,E,SE,29-06,,,,"UNK NUMBER OF TEETH, ADULT, FRAGMENTED AND DECAYED",CIE,,,,,,,,
1,,-,160,170,N,10,20,E,SE,30-03,,,Yes,13 teeth; adult,AWA,,,,,,,,
31,,-,160,170,N,10,20,E,SE,30-03,15,1998,Yes,Teeth; UNK,AWA,,,,,,,,
31,,-,160,170,N,10,20,E,SE,30-05,,1998,,Skull membrane,AWA,,,,,,,,
31,,-,160,170,N,10,20,E,SE,30-06,,1998,,Ribs; child,AWA,,,,,,,,
,,6,160,170,N,10,20,E,SE,30-06,,1998,,LONG BONE AND TEETH,GM,,,,,,,,
31,,,160,170,N,10,20,E,SE,30-4,2,1998,,Unknown bones,AWA,,,,,,,,
35,,,160,170,N,10,20,E,SE,30.0,21,1998,,"Bone fragments; adult or sub-adult (""Cluster 21"")",MBB,,,,,,,,
29,,,160,170,N,10,20,E,SE,30.1,,2000,,RIBS AND TEETH,GM,,,,,,,,
-,,3,160,170,N,10,20,E,SE,31-02,,4/18/1994,,"""HIFFI SI LINEN""",CIE,,,,,,,,
23,,,160,170,N,10,20,E,SE,31-03,,11/17/1996,,"2 TEETH AND A TUBE LABELED ""CONTEMP TOOTH""",GM,,,,,,,,
25,,-,160,170,N,10,20,E,SE,32-01,,,,Child rib,AWA,,,,,,,,
22,,-,160,170,N,10,20,E,SE,32-03,,,,HAIR,GM,,,,,,,,
12,,-,160,170,N,10,20,E,SE,32-04,,,,4 TEETH; ADULT W/ TISSUE AND BROKEN,CIE,,,,,,,,
11,,,160,170,N,10,20,E,SE,32-05,,,,SKIN ?- RC,GM,,,,,,,,
18,,,160,170,N,10,20,E,SE,32-06,21,1998,Yes,"Humerus fragment; child  (""Cluster 21"")",MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,33-02,21,1998,,"Tissue from ribs; UKN  (""Cluster 21"")",MBB,,,,,,,,
18,,,160,170,N,10,20,E,SE,33-03,21,1998,,"Tissue; UKN  (""Cluster 21"")",MBB,,,,,,,,
35,,,160,170,N,10,20,E,SE,33-05,7,1998,,"Lung tissue; UKN (""Cluster 7"")",MBB,,,,,,,,
